id_str,full_text
1808117743776120974,Seluruh Rakyat Indonesia 278 juta orang harus JAGA KESELAMATAN PAK PRABOWO SUBIANTO BAIK-BAIK. Kalau sampai beliau kenapa-kenapa dalam 5 tahun ini Maka makhluk ini yang akan jadi Presiden kalian! Paham 58% Rakyat Goblok? https://t.co/MZ7U3ipMO1
1843978581250293816,Kalau emang Ngarep jadi wakilnya Prabowo napa ga dari dulu Prabowo Gibran Udah mo dilantik baru pada ribut https://t.co/PLhQ2eb2RK
1826176876148396361, Kalau Presiden Jokowi Diktator anda tidak akan jadi Gubernur DKI Jakarta Dan sekarang kejadian beneran kan Pak @prabowo Masih mau bilang @jokowi bukan diktator? PERINGATAN DARURAT #KawalPutusanMK https://t.co/9R6PiU0Yp9
1790353993543401967,Tumben gak Ada yang ngaamook Tapi yaa kan nganu itu anuannya Ya kan https://t.co/MBFvmxRUku
1842498020325388517,Dirgahayu Tentara Nasional Indonesia ke-79 tahun. Selalu membela rakyat dan mempertahankan Negara Republik Indonesia. https://t.co/wcn2gynzAh
1843562059151356350,Presiden Joko Widodo mengatakan kemungkinan tidak hadir di Gedung DPR Senayan saat pelantikan Presiden terpilih Prabowo Subianto pada 20 Oktober 2024. #TempoHeadliner https://t.co/Z6TTgZBvHi
1844921743334342966,Jokowi Sebut Keppres IKN Diteken Prabowo Dan Gerindra menjawab. Pertanda ketidak kompakan itu semakin nyata https://t.co/7E5jhi6Bv5
1755912360316055813,Menghadiri kampanye akbar Pagelaran Anak Negeri di Gelora Bandung Lautan Api. Walau hujan deras namun semangat dan antusiasme masyarakat Jawa Barat yang hadir tetap luar biasa. Hatur nuhun Jawa Barat. #BersamaIndonesiaMaju https://t.co/sMvpr5OrwB
1843067958450696526,Adab Jokowi vs Prabowo Dalam Menghormati Orang Yang Lebih Senior. https://t.co/xvm4nJLN7f
1759128156781654410,Adapun daerah-daerah yang lebih banyak memilih paslon Prabowo - Gibran di antaranya Bali 51 78% Banten 55 69% Bengkulu 69 29% Jogja 50 59% DKI Jakarta 41 09% Gorontalo 65 52% Jambi 64 45% Jawa Barat 57 2% Jawa Tengah 52 7%. Jawa Timur 65 3% Kalimantan Barat https://t.co/Uqev5LQ43V
1845037165924974968,Pernyataan Sikap Gue Setelah Pelantikan Pak Prabowo - Mas Gibran Tgl 20/10/2024 Secara Sah Menurut UU Sebagai Rakyat Indonesia Gue Mendukung Penuh Pak Prabowo &amp; Mas Gibran Sebagai Presiden RI. Mari Kita Dukung Bersama² Agar Bangsa Kita Indonesia Aman Damai &amp; Sejahtera 🇮🇩🇮🇩 https://t.co/rSJOmrQn5b
1843837441582739528,Elo boleh up semua Postingan lama gue tentang Pak Prabowo karena tak satupun yg gue hapus dulu gue tau pak Prabowo dari keluarga dan teman2 dekat gue ga ngalamin/ ga melihat sendiri ( mungkin mereka bisa salah spt juga gue). tetapi ketika pak @prabowo begitu baik https://t.co/BGK2gNxGxC
1765712673923297420,Sebuah kehormatan bagi saya menerima ucapan selamat atas hasil sementara Pemilu dari Presiden Negara Palestina Yang Mulia Mahmoud Abbas. Masyarakat Indonesia selalu bersama Palestina dalam masa tersulitnya dan akan terus mendukung perjuangan rakyat Palestina untuk meraih https://t.co/gUnl67D4tA
1842215739258032499,Ketua umum partai politik di Indonesia tuh ga banyak. Berikut daftarnya 1. PKB: A. Muhaimin Iskandar 2. Gerindra: Prabowo Subianto 3. PDIP: Megawati Soekarnoputri 4. Golkar: Bahlil Lahadalia 5. Nasdem: Surya Paloh 6. PAN: Zulkifli Hasan 7. Demokrat: AHY 8. PKS: Ahmad Syaikhu 9. https://t.co/4pLlHK93yf
1716260706981650453,Selamat pagi Pak @prabowo Selamat pagi Mas @gibran_tweet Selamat beraktivitas tetap semangat dan salam #IndonesiaRaya https://t.co/7uZbCCwYnD
1845015645521576344,Pakar hukum tata negara Yusril Ihza Mahendra mengaku siap menjadi menteri kabinet Prabowo Subianto-Gibran Rakabuming Raka. Terutama jika tugasnya berkaitan dengan bidang penegakkan hukum dalam hal ini Menko Hukum dan HAM. . Jika terpilih menjadi menteri dalam kabinet https://t.co/qKTiDMfb5B
1835515868052357423,Owalaaaah sperti itu kejadiannya Akhirnya netijen se Indonesia dan Pak @prabowo bisa tidur nyenyak... https://t.co/Hu1X2yo1Rp
1842574646102938053,Himbauan untuk semua pembenci mas Gibran ‼️ Kalian harusnya sadar dan mengakui bahwa beliau adlh wakil presiden terpilih ! Apapun kesalahannya lupakan ‼️ Ingat !! Beliau adlh pemuda ksatria Pemuda pemberani Bukankah Tak ada lebih berani darinya untuk melecehkan pak @prabowo ??! https://t.co/WkBxdm0oEk
1774624653241438278,udah
1813842710492831746,Ponakan Prabowo Thomas Djiwandono kabarnya akan dilantik jadi Wakil bu Sri Mulyani Selamat datang Era KEGELAPAN selamat datang Neo ORBA selamat subur kepada NEPOTISME https://t.co/LivHvduVZn
1758516085715058964,Pendukung Prabowo bilang kalo Prabowo tidak terlibat dalam penculikan aktivis tp Prabowo sendiri bilang gini. Jadi siapa yg harus gua percaya? Pendukungnya atau junjungannya? 2beer! https://t.co/kx4PTOcIVz
1843450836808282423,Ini di antara akun yang terus menerus tebar isu FufuFafa Ingat akun-akun ini adalah akun yang menyerang dan memfitnah Prabowo pada Pemilu 2014 dan 2019 Semoga pak Prabowo tidak lupa @ekokuntadhi1 @JhonSitorus_18 @yusuf_dumdum Coba di list ya akun2 lainnya di komen https://t.co/LWuYyTDtCs
1844902236159447227,Kenapa narasinya yg minta usut fufufafa harus bawa² Anies Baswedan? Emang yg dukung Prabowo gak kesinggung apa sama perkataan² fufufafa.. aneh bin ajaib aing mah suka heran kl sama pendukung fanatik gak bisa bedain akal sehat sama engga.. ‍️ https://t.co/ikhXhhALGR
1845249802751312073,Alhamdulillah... kabarnya sdh minta maaf ke Prabowo krmn sdh ada yg sowan ke PS... Kekuasaan itu indah kawan.... https://t.co/aB72AbFvcA
1843158721968640283,Selepas dilantik tanggal 20 Oktober mendatang presiden terpilih Prabowo Subianto akan langsung mengumumkan susunan kabinet pemerintahannya disusul pelantikan kabinet esok harinya. Beliau ingin segera mengabdikan dirinya bekerja bersama zaken kabinetnya untuk bangsa ini agar https://t.co/oWfMlHwM57
1844758397541040264,Sehat-sehat ya Pak Prabowo https://t.co/eEgQX3RPtw
1843646591951147189,THE BEST PICTURES IN THIS WEEK Muka Kecut Fufufafa dan Senyuman Sumringah Didit Prabowo. Takut yaaach Gibran..??? #SingkirkanGibranFufufafa https://t.co/qQO3wHqosf
1842489795009781760,Bos Rans dikabarkan masuk radar jadi menteri pada kabinet zaken Prabowo-Gibran. Setujukah anda Sobat PR? #KataRakyat #RaffiAhmad #Menparekraf #PRMN https://t.co/7ok503BTMy
1762754846900552174,Penghargaan kenaikan pangkat istimewa saya berikan kepada Menteri Pertahanan RI Prabowo Subianto sebagai Jenderal TNI Kehormatan dilaksanakan dalam Rapat Pimpinan TNI-Polri Tahun 2024 di Markas Besar TNI Cilangkap Jakarta Rabu 28 Februari 2024. Ini merupakan penghargaan https://t.co/lU61xMj1Qk
1716443414047465699,Kabuuurr ahh engga mau doorstop Moment Pak Prabowo lari menghindari wartawan.. Bercyaaaandaa https://t.co/095TrPg6C6
1754353644546519206,Deklarasi Bung Rin @ponakannyaom terhadap Paslon 02 Prabowo-Gibran. #TatakaePrabowo #MenujuIndonesiaEmas2045 https://t.co/36ZcBus1fh
1845440645126816134,Prabowo-Gibran‼️ Keren... Era emas +62 dimulai. Monggo tempo/anak abah/cucu 16% nanges ndek pojok... Awas lek gak nanges. https://t.co/wQ26QS2EKK
1843504146168828405,Hashim : Program makan siang gratis Prabowo 2 kali sehari. https://t.co/7pFaIRoTdd
